quarter,industry1,recruitment_rate,resignation_rate
2013-Q4,others,1.7,0.8
2014-Q1,manufacturing,1.7,1.6
2014-Q1,construction,2.5,2
2014-Q1,services,2.7,2.3
2014-Q1,others,2.6,1.9
2014-Q2,manufacturing,1.9,1.7
2014-Q2,construction,3.1,2.1
2014-Q2,services,3,2.4
2014-Q2,others,1.8,1.5
2014-Q3,manufacturing,2,1.6
2014-Q3,construction,2.7,1.8
2014-Q3,services,3,2.3
2014-Q3,others,2,1.5
2014-Q4,manufacturing,1.5,1.3
2014-Q4,construction,2.4,1.6
2014-Q4,services,2.6,1.8
2014-Q4,others,2,1.3
2015-Q1,manufacturing,1.5,1.6
2015-Q1,construction,2.3,1.8
2015-Q1,services,2.6,2
2015-Q1,others,1.5,1.4
2015-Q2,manufacturing,1.8,1.7
2015-Q2,construction,2.7,2.1
2015-Q2,services,2.8,2.2
2015-Q2,others,1.7,1.4
2015-Q3,manufacturing,1.7,1.5
2015-Q3,construction,2.5,1.7
2015-Q3,services,2.7,2
2015-Q3,others,1.8,1.4
2015-Q4,manufacturing,1.2,1.1
2015-Q4,construction,2.3,1.7
2015-Q4,services,2.5,1.8
2015-Q4,others,1.5,1.3
2016-Q1,manufacturing,1.6,1.5
2016-Q1,construction,2.3,1.6
2016-Q1,services,2.5,2
2016-Q1,others,1.4,1.3
2016-Q2,manufacturing,1.8,1.6
2016-Q2,construction,2.2,1.8
2016-Q2,services,2.6,2.1
2016-Q2,others,1.3,1.4
2016-Q3,manufacturing,1.6,1.5
2016-Q3,construction,1.9,1.6
2016-Q3,services,2.4,1.9
2016-Q3,others,1.3,1.1
2016-Q4,manufacturing,1.3,1.2
2016-Q4,construction,1.9,1.7
2016-Q4,services,2.2,1.7
2016-Q4,others,1.3,1.1
2017-Q1,manufacturing,1.6,1.6
2017-Q1,construction,1.6,1.7
2017-Q1,services,2.2,1.9
2017-Q1,others,1.2,1.3
2017-Q2,manufacturing,1.9,1.6
2017-Q2,construction,1.9,1.9
2017-Q2,services,2.3,2
2017-Q2,others,1.4,1
2017-Q3,manufacturing,2.1,1.6
2017-Q3,construction,1.7,1.7
2017-Q3,services,2.4,1.9
2017-Q3,others,1.7,2.3
2017-Q4,manufacturing,1.7,1.3
2017-Q4,construction,1.5,1.8
2017-Q4,services,2.3,1.7
2017-Q4,others,1.3,1
2018-Q1,manufacturing,1.7,1.6
2018-Q1,construction,1.8,1.6
2018-Q1,services,2.4,1.9
2018-Q1,others,1.5,1.8
2018-Q2,manufacturing,2.1,1.8
2018-Q2,construction,2.3,2
2018-Q2,services,2.7,2.1
2018-Q2,others,1.8,1.4
2018-Q3,manufacturing,2.1,1.5
2018-Q3,construction,2,1.7
2018-Q3,services,2.4,1.8
2018-Q3,others,2.1,1.3
2018-Q4,manufacturing,1.6,1.3
2018-Q4,construction,1.9,1.7
2018-Q4,services,2.2,1.7
2018-Q4,others,1.8,1.1
2019-Q1,manufacturing,1.7,1.7
2019-Q1,construction,2.1,2
2019-Q1,services,2.4,1.8
2019-Q1,others,1.7,1.2
2019-Q2,manufacturing,2,1.7
2019-Q2,construction,2.4,2
2019-Q2,services,2.6,2.1
2019-Q2,others,1.7,1.3
2019-Q3,manufacturing,1.7,1.4
2019-Q3,construction,2.4,1.8
2019-Q3,services,2.5,1.9
2019-Q3,others,1.6,1.1
2019-Q4,manufacturing,1.5,1
2019-Q4,construction,2.1,1.4
2019-Q4,services,2.1,1.6
2019-Q4,others,1.4,1
2020-Q1,manufacturing,1.3,1.3
2020-Q1,construction,1.8,1.8
2020-Q1,services,2.1,1.7
2020-Q1,others,1.3,1.2
