quarter,industry1,industry2,industry3,recruitment_rate,resignation_rate
1990-Q2,manufacturing,other manufacturing industries,other manufacturing industries,4.8,5
1990-Q2,construction,construction,construction,3.6,3.8
1990-Q2,services,wholesale and retail trade,wholesale trade,3.7,3.2
1990-Q2,services,wholesale and retail trade,retail trade,9.1,8.7
1990-Q2,services,hotels and restaurants,hotels,6.4,5.8
1990-Q2,services,hotels and restaurants,restaurants,11.4,9.7
1990-Q2,services,"transport, storage and communications","transport, storage and communications",3.3,2.3
1990-Q2,services,financial intermediation,financial institutions,4.1,2.9
1990-Q2,services,financial intermediation,insurance and pension funding,3.7,3.1
1990-Q2,services,business and real estate services,business and real estate services,5.1,3.7
1990-Q2,services,"community, social and personal services","community, social and personal services",5.8,5
1990-Q2,others,others,others,3.8,3.9
1990-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.6,3.5
1990-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,3,3.5
1990-Q3,manufacturing,paper products and publishing,paper products and publishing,3.4,3.1
1990-Q3,manufacturing,petroleum and chemical products,petroleum and chemical products,2.4,1.9
1990-Q3,manufacturing,rubber and plastic products,rubber and plastic products,4.9,3.9
1990-Q3,manufacturing,fabricated metal products,fabricated metal products,4.3,3.7
1990-Q3,manufacturing,machinery and equipment,machinery and equipment,4.3,3.8
1990-Q3,manufacturing,electrical products,electrical products,3.8,3.7
1990-Q3,manufacturing,electronic products,electronic products,5.2,4.3
1990-Q3,manufacturing,medical and precision instruments,medical and precision instruments,2.9,3
1990-Q3,manufacturing,transport equipment,transport equipment,4.4,3.8
1990-Q3,manufacturing,other manufacturing industries,other manufacturing industries,3,3.2
1990-Q3,construction,construction,construction,3.2,3.2
1990-Q3,services,wholesale and retail trade,wholesale trade,3.7,2.8
1990-Q3,services,wholesale and retail trade,retail trade,7.9,6.5
1990-Q3,services,hotels and restaurants,hotels,5.3,4.5
1990-Q3,services,hotels and restaurants,restaurants,9.4,9.4
1990-Q3,services,"transport, storage and communications","transport, storage and communications",2.9,2
1990-Q3,services,financial intermediation,financial institutions,2.9,2
1990-Q3,services,financial intermediation,insurance and pension funding,3.2,2.1
1990-Q3,services,business and real estate services,business and real estate services,4.1,3.1
1990-Q3,services,"community, social and personal services","community, social and personal services",5.6,4.6
1990-Q3,others,others,others,4.1,3.5
1990-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.9,2.8
1990-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,3.2,2.9
1990-Q4,manufacturing,paper products and publishing,paper products and publishing,3,2.2
1990-Q4,manufacturing,petroleum and chemical products,petroleum and chemical products,2.1,1.6
1990-Q4,manufacturing,rubber and plastic products,rubber and plastic products,4,2.9
1990-Q4,manufacturing,fabricated metal products,fabricated metal products,3.3,2.5
1990-Q4,manufacturing,machinery and equipment,machinery and equipment,3.5,2.7
1990-Q4,manufacturing,electrical products,electrical products,3.2,2.9
1990-Q4,manufacturing,electronic products,electronic products,3.7,3.1
1990-Q4,manufacturing,medical and precision instruments,medical and precision instruments,4.9,1.5
1990-Q4,manufacturing,transport equipment,transport equipment,3.4,3
1990-Q4,manufacturing,other manufacturing industries,other manufacturing industries,3,3
1990-Q4,construction,construction,construction,3.3,2.8
1990-Q4,services,wholesale and retail trade,wholesale trade,2.8,2.1
1990-Q4,services,wholesale and retail trade,retail trade,10.1,7.7
1990-Q4,services,hotels and restaurants,hotels,6,4
1990-Q4,services,hotels and restaurants,restaurants,10.1,6.7
1990-Q4,services,"transport, storage and communications","transport, storage and communications",2.2,1.5
1990-Q4,services,financial intermediation,financial institutions,1.8,1.2
1990-Q4,services,financial intermediation,insurance and pension funding,2.2,1.3
1990-Q4,services,business and real estate services,business and real estate services,3.2,2.3
1990-Q4,services,"community, social and personal services","community, social and personal services",6,4.3
1990-Q4,others,others,others,3.5,2.7
1991-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",4.3,4
1991-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,3.1,3.6
1991-Q1,manufacturing,paper products and publishing,paper products and publishing,3.4,3.4
1991-Q1,manufacturing,petroleum and chemical products,petroleum and chemical products,3,2.3
1991-Q1,manufacturing,rubber and plastic products,rubber and plastic products,5.4,4.8
1991-Q1,manufacturing,fabricated metal products,fabricated metal products,4.2,4.3
1991-Q1,manufacturing,machinery and equipment,machinery and equipment,4.4,4.7
1991-Q1,manufacturing,electrical products,electrical products,4.5,4.9
1991-Q1,manufacturing,electronic products,electronic products,3.7,4.7
1991-Q1,manufacturing,medical and precision instruments,medical and precision instruments,3.7,3.6
1991-Q1,manufacturing,transport equipment,transport equipment,4.4,3.7
1991-Q1,manufacturing,other manufacturing industries,other manufacturing industries,3.6,3.7
1991-Q1,construction,construction,construction,3.8,3.1
1991-Q1,services,wholesale and retail trade,wholesale trade,3.2,2.7
1991-Q1,services,wholesale and retail trade,retail trade,7.5,8.4
1991-Q1,services,hotels and restaurants,hotels,3.8,4.9
1991-Q1,services,hotels and restaurants,restaurants,8.6,9
1991-Q1,services,"transport, storage and communications","transport, storage and communications",2.3,2
1991-Q1,services,financial intermediation,financial institutions,1.9,1.8
1991-Q1,services,financial intermediation,insurance and pension funding,2.4,1.9
1991-Q1,services,business and real estate services,business and real estate services,3.9,3
1991-Q1,services,"community, social and personal services","community, social and personal services",5.3,4.8
1991-Q1,others,others,others,4.6,3.3
1991-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.8,3.7
1991-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,3.8,4.3
1991-Q2,manufacturing,paper products and publishing,paper products and publishing,4.4,4.1
1991-Q2,manufacturing,petroleum and chemical products,petroleum and chemical products,2.9,2.4
1991-Q2,manufacturing,rubber and plastic products,rubber and plastic products,5.8,5.1
1991-Q2,manufacturing,fabricated metal products,fabricated metal products,4.3,4.2
1991-Q2,manufacturing,machinery and equipment,machinery and equipment,4.5,4.6
1991-Q2,manufacturing,electrical products,electrical products,5.1,4.3
1991-Q2,manufacturing,electronic products,electronic products,5,4.7
1991-Q2,manufacturing,medical and precision instruments,medical and precision instruments,3.2,3.3
1991-Q2,manufacturing,transport equipment,transport equipment,4.5,3.6
1991-Q2,manufacturing,other manufacturing industries,other manufacturing industries,4.6,4.7
1991-Q2,construction,construction,construction,3.3,3
1991-Q2,services,wholesale and retail trade,wholesale trade,3.7,3.1
1991-Q2,services,wholesale and retail trade,retail trade,7.6,7.6
1991-Q2,services,hotels and restaurants,hotels,5.1,5
1991-Q2,services,hotels and restaurants,restaurants,9.5,8.3
1991-Q2,services,"transport, storage and communications","transport, storage and communications",2.5,2.1
1991-Q2,services,financial intermediation,financial institutions,2.3,2
1991-Q2,services,financial intermediation,insurance and pension funding,2.8,2.6
1991-Q2,services,business and real estate services,business and real estate services,4.4,3.6
1991-Q2,services,"community, social and personal services","community, social and personal services",5.3,4.9
1991-Q2,others,others,others,4.3,4.6
1991-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",4.1,3.4
1991-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,3,3.6
1991-Q3,manufacturing,paper products and publishing,paper products and publishing,3.5,3.1
1991-Q3,manufacturing,petroleum and chemical products,petroleum and chemical products,2.5,2.2
1991-Q3,manufacturing,rubber and plastic products,rubber and plastic products,5.4,4.2
1991-Q3,manufacturing,fabricated metal products,fabricated metal products,3.7,3.2
1991-Q3,manufacturing,machinery and equipment,machinery and equipment,3.9,3.5
1991-Q3,manufacturing,electrical products,electrical products,4.2,3.7
1991-Q3,manufacturing,electronic products,electronic products,3.4,3.5
1991-Q3,manufacturing,medical and precision instruments,medical and precision instruments,2.8,2.4
1991-Q3,manufacturing,transport equipment,transport equipment,5.1,4.1
1991-Q3,manufacturing,other manufacturing industries,other manufacturing industries,3.8,3.6
1991-Q3,construction,construction,construction,4,3.1
1991-Q3,services,wholesale and retail trade,wholesale trade,3.3,2.8
1991-Q3,services,wholesale and retail trade,retail trade,7.1,5.8
1991-Q3,services,hotels and restaurants,hotels,5.6,4.6
1991-Q3,services,hotels and restaurants,restaurants,7.4,9.1
1991-Q3,services,"transport, storage and communications","transport, storage and communications",2.4,1.8
1991-Q3,services,financial intermediation,financial institutions,2.2,1.8
1991-Q3,services,financial intermediation,insurance and pension funding,2.6,1.9
1991-Q3,services,business and real estate services,business and real estate services,4.7,4.2
1991-Q3,services,"community, social and personal services","community, social and personal services",3.3,2.7
1991-Q3,others,others,others,2.9,3.8
1991-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.4,2.6
1991-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,4.9,2.6
1991-Q4,manufacturing,paper products and publishing,paper products and publishing,2.4,2.1
1991-Q4,manufacturing,petroleum and chemical products,petroleum and chemical products,2,1.3
1991-Q4,manufacturing,rubber and plastic products,rubber and plastic products,3.3,2.9
1991-Q4,manufacturing,fabricated metal products,fabricated metal products,2.6,2.3
1991-Q4,manufacturing,machinery and equipment,machinery and equipment,2.9,2.3
1991-Q4,manufacturing,electrical products,electrical products,2.5,2.1
1991-Q4,manufacturing,electronic products,electronic products,2.6,2.2
1991-Q4,manufacturing,medical and precision instruments,medical and precision instruments,2,1.6
1991-Q4,manufacturing,transport equipment,transport equipment,4.4,3.1
1991-Q4,manufacturing,other manufacturing industries,other manufacturing industries,2.9,2.6
1991-Q4,construction,construction,construction,2.6,2.3
1991-Q4,services,wholesale and retail trade,wholesale trade,2.8,2
1991-Q4,services,wholesale and retail trade,retail trade,10,7.1
1991-Q4,services,hotels and restaurants,hotels,5.9,3.8
1991-Q4,services,hotels and restaurants,restaurants,9.6,6.9
1991-Q4,services,"transport, storage and communications","transport, storage and communications",1.8,1.2
1991-Q4,services,financial intermediation,financial institutions,1.6,1.1
1991-Q4,services,financial intermediation,insurance and pension funding,1.6,1.3
1991-Q4,services,business and real estate services,business and real estate services,3.9,3.4
1991-Q4,services,"community, social and personal services","community, social and personal services",2.4,1.7
1991-Q4,others,others,others,3.2,1.9
1992-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.7,4.2
1992-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,3.4,4.2
1992-Q1,manufacturing,paper products and publishing,paper products and publishing,3.5,3.6
1992-Q1,manufacturing,petroleum and chemical products,petroleum and chemical products,2.3,2.3
1992-Q1,manufacturing,rubber and plastic products,rubber and plastic products,4.6,4.3
1992-Q1,manufacturing,fabricated metal products,fabricated metal products,4.1,4.3
1992-Q1,manufacturing,machinery and equipment,machinery and equipment,4.1,4.3
1992-Q1,manufacturing,electrical products,electrical products,3,3.9
1992-Q1,manufacturing,electronic products,electronic products,4.7,4.9
1992-Q1,manufacturing,medical and precision instruments,medical and precision instruments,3,3.2
1992-Q1,manufacturing,transport equipment,transport equipment,4.4,4.2
1992-Q1,manufacturing,other manufacturing industries,other manufacturing industries,3.3,4.2
1992-Q1,construction,construction,construction,2.4,2.6
1992-Q1,services,wholesale and retail trade,wholesale trade,3.4,3
1992-Q1,services,wholesale and retail trade,retail trade,7.5,7.8
1992-Q1,services,hotels and restaurants,hotels,5,5.1
1992-Q1,services,hotels and restaurants,restaurants,7.5,8.8
1992-Q1,services,"transport, storage and communications","transport, storage and communications",2.4,2.1
1992-Q1,services,financial intermediation,financial institutions,2.2,2.1
1992-Q1,services,financial intermediation,insurance and pension funding,2.7,2.3
1992-Q1,services,business and real estate services,business and real estate services,4.3,4
1992-Q1,services,"community, social and personal services","community, social and personal services",3.5,3
1992-Q1,others,others,others,3.9,3.8
1992-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.5,3.1
1992-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,3.4,4
1992-Q2,manufacturing,paper products and publishing,paper products and publishing,3.7,3.4
1992-Q2,manufacturing,petroleum and chemical products,petroleum and chemical products,2.5,1.9
1992-Q2,manufacturing,rubber and plastic products,rubber and plastic products,4.6,4.5
1992-Q2,manufacturing,fabricated metal products,fabricated metal products,4.4,4.1
1992-Q2,manufacturing,machinery and equipment,machinery and equipment,4,3.9
1992-Q2,manufacturing,electrical products,electrical products,3.5,3.9
1992-Q2,manufacturing,electronic products,electronic products,4.7,4.4
1992-Q2,manufacturing,medical and precision instruments,medical and precision instruments,2.6,2.9
1992-Q2,manufacturing,transport equipment,transport equipment,5,4.7
1992-Q2,manufacturing,other manufacturing industries,other manufacturing industries,4.1,4
1992-Q2,construction,construction,construction,3.6,2.7
1992-Q2,services,wholesale and retail trade,wholesale trade,3.4,3.1
1992-Q2,services,wholesale and retail trade,retail trade,7.5,7.1
1992-Q2,services,hotels and restaurants,hotels,5.2,4.7
1992-Q2,services,hotels and restaurants,restaurants,8.2,7.3
1992-Q2,services,"transport, storage and communications","transport, storage and communications",2.7,2
1992-Q2,services,financial intermediation,financial institutions,2.5,2
1992-Q2,services,financial intermediation,insurance and pension funding,2.9,2.3
1992-Q2,services,business and real estate services,business and real estate services,4.9,4.1
1992-Q2,services,"community, social and personal services","community, social and personal services",3.4,2.8
1992-Q2,others,others,others,3,4
1992-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.5,2.9
1992-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,2.9,3.6
1992-Q3,manufacturing,paper products and publishing,paper products and publishing,3.2,2.7
1992-Q3,manufacturing,petroleum and chemical products,petroleum and chemical products,1.9,1.4
1992-Q3,manufacturing,rubber and plastic products,rubber and plastic products,4.6,3.6
1992-Q3,manufacturing,fabricated metal products,fabricated metal products,3.7,3
1992-Q3,manufacturing,machinery and equipment,machinery and equipment,3.7,3.3
1992-Q3,manufacturing,electrical products,electrical products,3.3,2.7
1992-Q3,manufacturing,electronic products,electronic products,4.1,3.7
1992-Q3,manufacturing,medical and precision instruments,medical and precision instruments,2.4,2.4
1992-Q3,manufacturing,transport equipment,transport equipment,2.4,4.4
1992-Q3,manufacturing,other manufacturing industries,other manufacturing industries,2.8,2.9
1992-Q3,construction,construction,construction,3.5,2.3
1992-Q3,services,wholesale and retail trade,wholesale trade,3.3,2.7
1992-Q3,services,wholesale and retail trade,retail trade,6.7,6
1992-Q3,services,hotels and restaurants,hotels,4.5,4.3
1992-Q3,services,hotels and restaurants,restaurants,7.1,7.3
1992-Q3,services,"transport, storage and communications","transport, storage and communications",2.2,1.6
1992-Q3,services,financial intermediation,financial institutions,2.2,1.9
1992-Q3,services,financial intermediation,insurance and pension funding,2.3,1.5
1992-Q3,services,business and real estate services,business and real estate services,4,3.5
1992-Q3,services,"community, social and personal services","community, social and personal services",4,2.5
1992-Q3,others,others,others,3,3.2
1992-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",2.9,2.4
1992-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,2.5,2.6
1992-Q4,manufacturing,paper products and publishing,paper products and publishing,2.2,1.6
1992-Q4,manufacturing,petroleum and chemical products,petroleum and chemical products,1.7,1.1
1992-Q4,manufacturing,rubber and plastic products,rubber and plastic products,2.9,2.5
1992-Q4,manufacturing,fabricated metal products,fabricated metal products,2.5,2
1992-Q4,manufacturing,machinery and equipment,machinery and equipment,2.6,2.1
1992-Q4,manufacturing,electrical products,electrical products,1.8,1.7
1992-Q4,manufacturing,electronic products,electronic products,2.4,2.2
1992-Q4,manufacturing,medical and precision instruments,medical and precision instruments,1.4,1.4
1992-Q4,manufacturing,transport equipment,transport equipment,2.3,2.6
1992-Q4,manufacturing,other manufacturing industries,other manufacturing industries,2.4,2.2
1992-Q4,construction,construction,construction,2.7,2.1
1992-Q4,services,wholesale and retail trade,wholesale trade,2.4,2
1992-Q4,services,wholesale and retail trade,retail trade,10.4,7.1
1992-Q4,services,hotels and restaurants,hotels,4.3,3.2
1992-Q4,services,hotels and restaurants,restaurants,10.1,6.7
1992-Q4,services,"transport, storage and communications","transport, storage and communications",1.6,1.2
1992-Q4,services,financial intermediation,financial institutions,1.8,1.3
1992-Q4,services,financial intermediation,insurance and pension funding,1.6,1.3
1992-Q4,services,business and real estate services,business and real estate services,3.2,3.4
1992-Q4,services,"community, social and personal services","community, social and personal services",2.5,1.9
1992-Q4,others,others,others,3.6,3.6
1993-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.5,3.6
1993-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,3.8,4.5
1993-Q1,manufacturing,paper products and publishing,paper products and publishing,3.1,3.4
1993-Q1,manufacturing,petroleum and chemical products,petroleum and chemical products,2.6,2.1
1993-Q1,manufacturing,rubber and plastic products,rubber and plastic products,5.2,5.1
1993-Q1,manufacturing,fabricated metal products,fabricated metal products,3.9,3.9
1993-Q1,manufacturing,machinery and equipment,machinery and equipment,4.5,4.1
1993-Q1,manufacturing,electrical products,electrical products,4.1,3.5
1993-Q1,manufacturing,electronic products,electronic products,4.2,4.6
1993-Q1,manufacturing,medical and precision instruments,medical and precision instruments,2,3.6
1993-Q1,manufacturing,transport equipment,transport equipment,3.4,3.6
1993-Q1,manufacturing,other manufacturing industries,other manufacturing industries,3.2,3.7
1993-Q1,construction,construction,construction,4.2,2.7
1993-Q1,services,wholesale and retail trade,wholesale trade,3.2,3.3
1993-Q1,services,wholesale and retail trade,retail trade,7.3,8.2
1993-Q1,services,hotels and restaurants,hotels,4.8,5.1
1993-Q1,services,hotels and restaurants,restaurants,6.9,7.9
1993-Q1,services,"transport, storage and communications","transport, storage and communications",2.1,1.9
1993-Q1,services,financial intermediation,financial institutions,2.3,2.3
1993-Q1,services,financial intermediation,insurance and pension funding,2.3,2
1993-Q1,services,business and real estate services,business and real estate services,3.7,3.8
1993-Q1,services,"community, social and personal services","community, social and personal services",3.9,3.3
1993-Q1,others,others,others,2.5,3.3
1993-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.3,3.2
1993-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,3.7,4.1
1993-Q2,manufacturing,paper products and publishing,paper products and publishing,3.7,3.1
1993-Q2,manufacturing,petroleum and chemical products,petroleum and chemical products,2.5,2
1993-Q2,manufacturing,rubber and plastic products,rubber and plastic products,4.9,4.1
1993-Q2,manufacturing,fabricated metal products,fabricated metal products,3.3,3.2
1993-Q2,manufacturing,machinery and equipment,machinery and equipment,3.9,3.6
1993-Q2,manufacturing,electrical products,electrical products,3.8,3.3
1993-Q2,manufacturing,electronic products,electronic products,4.3,3.9
1993-Q2,manufacturing,medical and precision instruments,medical and precision instruments,2.3,2.4
1993-Q2,manufacturing,transport equipment,transport equipment,4.2,3.6
1993-Q2,manufacturing,other manufacturing industries,other manufacturing industries,4.2,3.4
1993-Q2,construction,construction,construction,4.3,2.9
1993-Q2,services,wholesale and retail trade,wholesale trade,3.6,3.1
1993-Q2,services,wholesale and retail trade,retail trade,8.6,7.4
1993-Q2,services,hotels and restaurants,hotels,5.1,5.1
1993-Q2,services,hotels and restaurants,restaurants,8.1,7.8
1993-Q2,services,"transport, storage and communications","transport, storage and communications",2.4,1.8
1993-Q2,services,financial intermediation,financial institutions,3.5,2.2
1993-Q2,services,financial intermediation,insurance and pension funding,2.8,2.5
1993-Q2,services,business and real estate services,business and real estate services,4.6,3.9
1993-Q2,services,"community, social and personal services","community, social and personal services",3.6,3.1
1993-Q2,others,others,others,7.6,3.6
1993-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.5,3.3
1993-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,3.4,3.5
1993-Q3,manufacturing,paper products and publishing,paper products and publishing,3,2.6
1993-Q3,manufacturing,petroleum and chemical products,petroleum and chemical products,2,1.6
1993-Q3,manufacturing,rubber and plastic products,rubber and plastic products,4.4,3.8
1993-Q3,manufacturing,fabricated metal products,fabricated metal products,3.3,2.8
1993-Q3,manufacturing,machinery and equipment,machinery and equipment,2.6,2.8
1993-Q3,manufacturing,electrical products,electrical products,3.3,2.6
1993-Q3,manufacturing,electronic products,electronic products,2.9,2.9
1993-Q3,manufacturing,medical and precision instruments,medical and precision instruments,2.2,2
1993-Q3,manufacturing,transport equipment,transport equipment,3.8,3.4
1993-Q3,manufacturing,other manufacturing industries,other manufacturing industries,3.1,2.8
1993-Q3,construction,construction,construction,3.7,2.4
1993-Q3,services,wholesale and retail trade,wholesale trade,3.2,2.6
1993-Q3,services,wholesale and retail trade,retail trade,7.9,6.5
1993-Q3,services,hotels and restaurants,hotels,4.8,4.4
1993-Q3,services,hotels and restaurants,restaurants,8,7.4
1993-Q3,services,"transport, storage and communications","transport, storage and communications",2.3,1.7
1993-Q3,services,financial intermediation,financial institutions,2.8,1.9
1993-Q3,services,financial intermediation,insurance and pension funding,2.2,1.7
1993-Q3,services,business and real estate services,business and real estate services,4.2,3.3
1993-Q3,services,"community, social and personal services","community, social and personal services",3.2,2.5
1993-Q3,others,others,others,3.6,2.3
1993-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.1,2.4
1993-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,2.7,2.8
1993-Q4,manufacturing,paper products and publishing,paper products and publishing,2.1,1.6
1993-Q4,manufacturing,petroleum and chemical products,petroleum and chemical products,1.2,1
1993-Q4,manufacturing,rubber and plastic products,rubber and plastic products,3.5,2.7
1993-Q4,manufacturing,fabricated metal products,fabricated metal products,2.2,1.8
1993-Q4,manufacturing,machinery and equipment,machinery and equipment,2.8,2.2
1993-Q4,manufacturing,electrical products,electrical products,2.1,1.6
1993-Q4,manufacturing,electronic products,electronic products,2.7,1.8
1993-Q4,manufacturing,medical and precision instruments,medical and precision instruments,1.3,1.4
1993-Q4,manufacturing,transport equipment,transport equipment,2.9,2.1
1993-Q4,manufacturing,other manufacturing industries,other manufacturing industries,2.7,2
1993-Q4,construction,construction,construction,2.9,1.9
1993-Q4,services,wholesale and retail trade,wholesale trade,2.8,2.1
1993-Q4,services,wholesale and retail trade,retail trade,9.1,6.5
1993-Q4,services,hotels and restaurants,hotels,4.9,3.4
1993-Q4,services,hotels and restaurants,restaurants,9.7,7.3
1993-Q4,services,"transport, storage and communications","transport, storage and communications",1.6,1.1
1993-Q4,services,financial intermediation,financial institutions,2.2,1.3
1993-Q4,services,financial intermediation,insurance and pension funding,1.5,1.2
1993-Q4,services,business and real estate services,business and real estate services,3.2,2.8
1993-Q4,services,"community, social and personal services","community, social and personal services",2.6,1.9
1993-Q4,others,others,others,1.9,2.2
1994-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.7,3.6
1994-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,3,3.9
1994-Q1,manufacturing,paper products and publishing,paper products and publishing,2.8,3
1994-Q1,manufacturing,petroleum and chemical products,petroleum and chemical products,1.9,2
1994-Q1,manufacturing,rubber and plastic products,rubber and plastic products,4.4,4.6
1994-Q1,manufacturing,fabricated metal products,fabricated metal products,3,3.7
1994-Q1,manufacturing,machinery and equipment,machinery and equipment,4.2,4.1
1994-Q1,manufacturing,electrical products,electrical products,4,3.6
1994-Q1,manufacturing,electronic products,electronic products,4.1,4.5
1994-Q1,manufacturing,medical and precision instruments,medical and precision instruments,3.7,3.2
1994-Q1,manufacturing,transport equipment,transport equipment,3.6,3
1994-Q1,manufacturing,other manufacturing industries,other manufacturing industries,2.6,3
1994-Q1,construction,construction,construction,2,2.1
1994-Q1,services,wholesale and retail trade,wholesale trade,3.2,3.1
1994-Q1,services,wholesale and retail trade,retail trade,7.3,8.7
1994-Q1,services,hotels and restaurants,hotels,4.4,5.1
1994-Q1,services,hotels and restaurants,restaurants,5.9,8.7
1994-Q1,services,"transport, storage and communications","transport, storage and communications",2.1,2
1994-Q1,services,financial intermediation,financial institutions,3,2.3
1994-Q1,services,financial intermediation,insurance and pension funding,2.5,2.4
1994-Q1,services,business and real estate services,business and real estate services,3.8,3.7
1994-Q1,services,"community, social and personal services","community, social and personal services",3.3,3.1
1994-Q1,others,others,others,2,3
1994-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.8,3.3
1994-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,3.6,4.3
1994-Q2,manufacturing,paper products and publishing,paper products and publishing,3.5,3
1994-Q2,manufacturing,petroleum and chemical products,petroleum and chemical products,2.5,1.9
1994-Q2,manufacturing,rubber and plastic products,rubber and plastic products,5.2,4.5
1994-Q2,manufacturing,fabricated metal products,fabricated metal products,3.7,3.4
1994-Q2,manufacturing,machinery and equipment,machinery and equipment,3.7,3.5
1994-Q2,manufacturing,electrical products,electrical products,4,3.3
1994-Q2,manufacturing,electronic products,electronic products,4.8,4.2
1994-Q2,manufacturing,medical and precision instruments,medical and precision instruments,4,2.9
1994-Q2,manufacturing,transport equipment,transport equipment,4.1,3.4
1994-Q2,manufacturing,other manufacturing industries,other manufacturing industries,2.6,2.6
1994-Q2,construction,construction,construction,2.6,2.2
1994-Q2,services,wholesale and retail trade,wholesale trade,3.8,3.3
1994-Q2,services,wholesale and retail trade,retail trade,7.3,7.1
1994-Q2,services,hotels and restaurants,hotels,5.4,4.9
1994-Q2,services,hotels and restaurants,restaurants,7.3,6.3
1994-Q2,services,"transport, storage and communications","transport, storage and communications",2.8,2
1994-Q2,services,financial intermediation,financial institutions,3.4,2.4
1994-Q2,services,financial intermediation,insurance and pension funding,3.5,2.8
1994-Q2,services,business and real estate services,business and real estate services,4.6,3.8
