quarter,industry1,industry2,recruitment_rate,resignation_rate
1990-Q3,manufacturing,medical and precision instruments,2.9,3
1990-Q3,manufacturing,transport equipment,4.4,3.8
1990-Q3,manufacturing,other manufacturing industries,3,3.2
1990-Q3,construction,construction,3.2,3.2
1990-Q3,services,wholesale and retail trade,5.2,4.1
1990-Q3,services,hotels and restaurants,7.1,6.7
1990-Q3,services,"transport, storage and communications",2.9,2
1990-Q3,services,financial intermediation,2.9,2
1990-Q3,services,business and real estate services,4.1,3.1
1990-Q3,services,"community, social and personal services",5.6,4.6
1990-Q3,others,others,4.1,3.5
1990-Q4,manufacturing,"food, beverages and tobacco",3.9,2.8
1990-Q4,manufacturing,textile and wearing apparel,3.2,2.9
1990-Q4,manufacturing,paper products and publishing,3,2.2
1990-Q4,manufacturing,petroleum and chemical products,2.1,1.6
1990-Q4,manufacturing,rubber and plastic products,4,2.9
1990-Q4,manufacturing,fabricated metal products,3.3,2.5
1990-Q4,manufacturing,machinery and equipment,3.5,2.7
1990-Q4,manufacturing,electrical products,3.2,2.9
1990-Q4,manufacturing,electronic products,3.7,3.1
1990-Q4,manufacturing,medical and precision instruments,4.9,1.5
1990-Q4,manufacturing,transport equipment,3.4,3
1990-Q4,manufacturing,other manufacturing industries,3,3
1990-Q4,construction,construction,3.3,2.8
1990-Q4,services,wholesale and retail trade,5.5,4.1
1990-Q4,services,hotels and restaurants,7.8,5.2
1990-Q4,services,"transport, storage and communications",2.2,1.5
1990-Q4,services,financial intermediation,1.9,1.2
1990-Q4,services,business and real estate services,3.2,2.3
1990-Q4,services,"community, social and personal services",6,4.3
1990-Q4,others,others,3.5,2.7
1991-Q1,manufacturing,"food, beverages and tobacco",4.3,4
1991-Q1,manufacturing,textile and wearing apparel,3.1,3.6
1991-Q1,manufacturing,paper products and publishing,3.4,3.4
1991-Q1,manufacturing,petroleum and chemical products,3,2.3
1991-Q1,manufacturing,rubber and plastic products,5.4,4.8
1991-Q1,manufacturing,fabricated metal products,4.2,4.3
1991-Q1,manufacturing,machinery and equipment,4.4,4.7
1991-Q1,manufacturing,electrical products,4.5,4.9
1991-Q1,manufacturing,electronic products,3.7,4.7
1991-Q1,manufacturing,medical and precision instruments,3.7,3.6
1991-Q1,manufacturing,transport equipment,4.4,3.7
1991-Q1,manufacturing,other manufacturing industries,3.6,3.7
1991-Q1,construction,construction,3.8,3.1
1991-Q1,services,wholesale and retail trade,4.8,4.8
1991-Q1,services,hotels and restaurants,5.9,6.7
1991-Q1,services,"transport, storage and communications",2.3,2
1991-Q1,services,financial intermediation,2,1.8
1991-Q1,services,business and real estate services,3.9,3
1991-Q1,services,"community, social and personal services",5.3,4.8
1991-Q1,others,others,4.6,3.3
1991-Q2,manufacturing,"food, beverages and tobacco",3.8,3.7
1991-Q2,manufacturing,textile and wearing apparel,3.8,4.3
1991-Q2,manufacturing,paper products and publishing,4.4,4.1
1991-Q2,manufacturing,petroleum and chemical products,2.9,2.4
1991-Q2,manufacturing,rubber and plastic products,5.8,5.1
1991-Q2,manufacturing,fabricated metal products,4.3,4.2
1991-Q2,manufacturing,machinery and equipment,4.5,4.6
1991-Q2,manufacturing,electrical products,5.1,4.3
1991-Q2,manufacturing,electronic products,5,4.7
1991-Q2,manufacturing,medical and precision instruments,3.2,3.3
1991-Q2,manufacturing,transport equipment,4.5,3.6
1991-Q2,manufacturing,other manufacturing industries,4.6,4.7
1991-Q2,construction,construction,3.3,3
1991-Q2,services,wholesale and retail trade,5.1,4.8
1991-Q2,services,hotels and restaurants,7,6.5
1991-Q2,services,"transport, storage and communications",2.5,2.1
1991-Q2,services,financial intermediation,2.3,2.1
1991-Q2,services,business and real estate services,4.4,3.6
1991-Q2,services,"community, social and personal services",5.3,4.9
1991-Q2,others,others,4.3,4.6
1991-Q3,manufacturing,"food, beverages and tobacco",4.1,3.4
1991-Q3,manufacturing,textile and wearing apparel,3,3.6
1991-Q3,manufacturing,paper products and publishing,3.5,3.1
1991-Q3,manufacturing,petroleum and chemical products,2.5,2.2
1991-Q3,manufacturing,rubber and plastic products,5.4,4.2
1991-Q3,manufacturing,fabricated metal products,3.7,3.2
1991-Q3,manufacturing,machinery and equipment,3.9,3.5
1991-Q3,manufacturing,electrical products,4.2,3.7
1991-Q3,manufacturing,electronic products,3.4,3.5
1991-Q3,manufacturing,medical and precision instruments,2.8,2.4
1991-Q3,manufacturing,transport equipment,5.1,4.1
1991-Q3,manufacturing,other manufacturing industries,3.8,3.6
1991-Q3,construction,construction,4,3.1
1991-Q3,services,wholesale and retail trade,4.7,3.8
1991-Q3,services,hotels and restaurants,6.5,6.7
1991-Q3,services,"transport, storage and communications",2.4,1.8
1991-Q3,services,financial intermediation,2.2,1.8
1991-Q3,services,business and real estate services,4.7,4.2
1991-Q3,services,"community, social and personal services",3.3,2.7
1991-Q3,others,others,2.9,3.8
1991-Q4,manufacturing,"food, beverages and tobacco",3.4,2.6
1991-Q4,manufacturing,textile and wearing apparel,4.9,2.6
1991-Q4,manufacturing,paper products and publishing,2.4,2.1
1991-Q4,manufacturing,petroleum and chemical products,2,1.3
1991-Q4,manufacturing,rubber and plastic products,3.3,2.9
1991-Q4,manufacturing,fabricated metal products,2.6,2.3
1991-Q4,manufacturing,machinery and equipment,2.9,2.3
1991-Q4,manufacturing,electrical products,2.5,2.1
1991-Q4,manufacturing,electronic products,2.6,2.2
1991-Q4,manufacturing,medical and precision instruments,2,1.6
1991-Q4,manufacturing,transport equipment,4.4,3.1
1991-Q4,manufacturing,other manufacturing industries,2.9,2.6
1991-Q4,construction,construction,2.6,2.3
1991-Q4,services,wholesale and retail trade,5.4,3.8
1991-Q4,services,hotels and restaurants,7.6,5.2
1991-Q4,services,"transport, storage and communications",1.8,1.2
1991-Q4,services,financial intermediation,1.6,1.1
1991-Q4,services,business and real estate services,3.9,3.4
1991-Q4,services,"community, social and personal services",2.4,1.7
1991-Q4,others,others,3.2,1.9
1992-Q1,manufacturing,"food, beverages and tobacco",3.7,4.2
1992-Q1,manufacturing,textile and wearing apparel,3.4,4.2
1992-Q1,manufacturing,paper products and publishing,3.5,3.6
1992-Q1,manufacturing,petroleum and chemical products,2.3,2.3
1992-Q1,manufacturing,rubber and plastic products,4.6,4.3
1992-Q1,manufacturing,fabricated metal products,4.1,4.3
1992-Q1,manufacturing,machinery and equipment,4.1,4.3
1992-Q1,manufacturing,electrical products,3,3.9
1992-Q1,manufacturing,electronic products,4.7,4.9
1992-Q1,manufacturing,medical and precision instruments,3,3.2
1992-Q1,manufacturing,transport equipment,4.4,4.2
1992-Q1,manufacturing,other manufacturing industries,3.3,4.2
1992-Q1,construction,construction,2.4,2.6
1992-Q1,services,wholesale and retail trade,4.9,4.8
1992-Q1,services,hotels and restaurants,6.1,6.7
1992-Q1,services,"transport, storage and communications",2.4,2.1
1992-Q1,services,financial intermediation,2.2,2.1
1992-Q1,services,business and real estate services,4.3,4
1992-Q1,services,"community, social and personal services",3.5,3
1992-Q1,others,others,3.9,3.8
1992-Q2,manufacturing,"food, beverages and tobacco",3.5,3.1
1992-Q2,manufacturing,textile and wearing apparel,3.4,4
1992-Q2,manufacturing,paper products and publishing,3.7,3.4
1992-Q2,manufacturing,petroleum and chemical products,2.5,1.9
1992-Q2,manufacturing,rubber and plastic products,4.6,4.5
1992-Q2,manufacturing,fabricated metal products,4.4,4.1
1992-Q2,manufacturing,machinery and equipment,4,3.9
1992-Q2,manufacturing,electrical products,3.5,3.9
1992-Q2,manufacturing,electronic products,4.7,4.4
1992-Q2,manufacturing,medical and precision instruments,2.6,2.9
1992-Q2,manufacturing,transport equipment,5,4.7
1992-Q2,manufacturing,other manufacturing industries,4.1,4
1992-Q2,construction,construction,3.6,2.7
1992-Q2,services,wholesale and retail trade,4.9,4.5
1992-Q2,services,hotels and restaurants,6.5,5.9
1992-Q2,services,"transport, storage and communications",2.7,2
1992-Q2,services,financial intermediation,2.6,2
1992-Q2,services,business and real estate services,4.9,4.1
1992-Q2,services,"community, social and personal services",3.4,2.8
1992-Q2,others,others,3,4
1992-Q3,manufacturing,"food, beverages and tobacco",3.5,2.9
1992-Q3,manufacturing,textile and wearing apparel,2.9,3.6
1992-Q3,manufacturing,paper products and publishing,3.2,2.7
1992-Q3,manufacturing,petroleum and chemical products,1.9,1.4
1992-Q3,manufacturing,rubber and plastic products,4.6,3.6
1992-Q3,manufacturing,fabricated metal products,3.7,3
1992-Q3,manufacturing,machinery and equipment,3.7,3.3
1992-Q3,manufacturing,electrical products,3.3,2.7
1992-Q3,manufacturing,electronic products,4.1,3.7
1992-Q3,manufacturing,medical and precision instruments,2.4,2.4
1992-Q3,manufacturing,transport equipment,2.4,4.4
1992-Q3,manufacturing,other manufacturing industries,2.8,2.9
1992-Q3,construction,construction,3.5,2.3
1992-Q3,services,wholesale and retail trade,4.4,3.8
1992-Q3,services,hotels and restaurants,5.7,5.7
1992-Q3,services,"transport, storage and communications",2.2,1.6
1992-Q3,services,financial intermediation,2.2,1.8
1992-Q3,services,business and real estate services,4,3.5
1992-Q3,services,"community, social and personal services",4,2.5
1992-Q3,others,others,3,3.2
1992-Q4,manufacturing,"food, beverages and tobacco",2.9,2.4
1992-Q4,manufacturing,textile and wearing apparel,2.5,2.6
1992-Q4,manufacturing,paper products and publishing,2.2,1.6
1992-Q4,manufacturing,petroleum and chemical products,1.7,1.1
1992-Q4,manufacturing,rubber and plastic products,2.9,2.5
1992-Q4,manufacturing,fabricated metal products,2.5,2
1992-Q4,manufacturing,machinery and equipment,2.6,2.1
1992-Q4,manufacturing,electrical products,1.8,1.7
1992-Q4,manufacturing,electronic products,2.4,2.2
1992-Q4,manufacturing,medical and precision instruments,1.4,1.4
1992-Q4,manufacturing,transport equipment,2.3,2.6
1992-Q4,manufacturing,other manufacturing industries,2.4,2.2
1992-Q4,construction,construction,2.7,2.1
1992-Q4,services,wholesale and retail trade,5.3,3.8
1992-Q4,services,hotels and restaurants,7.1,4.9
1992-Q4,services,"transport, storage and communications",1.6,1.2
1992-Q4,services,financial intermediation,1.8,1.3
1992-Q4,services,business and real estate services,3.2,3.4
1992-Q4,services,"community, social and personal services",2.5,1.9
1992-Q4,others,others,3.6,3.6
1993-Q1,manufacturing,"food, beverages and tobacco",3.5,3.6
1993-Q1,manufacturing,textile and wearing apparel,3.8,4.5
1993-Q1,manufacturing,paper products and publishing,3.1,3.4
1993-Q1,manufacturing,petroleum and chemical products,2.6,2.1
1993-Q1,manufacturing,rubber and plastic products,5.2,5.1
1993-Q1,manufacturing,fabricated metal products,3.9,3.9
1993-Q1,manufacturing,machinery and equipment,4.5,4.1
1993-Q1,manufacturing,electrical products,4.1,3.5
1993-Q1,manufacturing,electronic products,4.2,4.6
1993-Q1,manufacturing,medical and precision instruments,2,3.6
1993-Q1,manufacturing,transport equipment,3.4,3.6
1993-Q1,manufacturing,other manufacturing industries,3.2,3.7
1993-Q1,construction,construction,4.2,2.7
1993-Q1,services,wholesale and retail trade,4.7,5.1
1993-Q1,services,hotels and restaurants,5.8,6.5
1993-Q1,services,"transport, storage and communications",2.1,1.9
1993-Q1,services,financial intermediation,2.3,2.3
1993-Q1,services,business and real estate services,3.7,3.8
1993-Q1,services,"community, social and personal services",3.9,3.3
1993-Q1,others,others,2.5,3.3
1993-Q2,manufacturing,"food, beverages and tobacco",3.3,3.2
1993-Q2,manufacturing,textile and wearing apparel,3.7,4.1
1993-Q2,manufacturing,paper products and publishing,3.7,3.1
1993-Q2,manufacturing,petroleum and chemical products,2.5,2
1993-Q2,manufacturing,rubber and plastic products,4.9,4.1
1993-Q2,manufacturing,fabricated metal products,3.3,3.2
1993-Q2,manufacturing,machinery and equipment,3.9,3.6
1993-Q2,manufacturing,electrical products,3.8,3.3
1993-Q2,manufacturing,electronic products,4.3,3.9
1993-Q2,manufacturing,medical and precision instruments,2.3,2.4
1993-Q2,manufacturing,transport equipment,4.2,3.6
1993-Q2,manufacturing,other manufacturing industries,4.2,3.4
1993-Q2,construction,construction,4.3,2.9
1993-Q2,services,wholesale and retail trade,5.4,4.6
1993-Q2,services,hotels and restaurants,6.5,6.4
1993-Q2,services,"transport, storage and communications",2.4,1.8
1993-Q2,services,financial intermediation,3.4,2.2
1993-Q2,services,business and real estate services,4.6,3.9
1993-Q2,services,"community, social and personal services",3.6,3.1
1993-Q2,others,others,7.6,3.6
1993-Q3,manufacturing,"food, beverages and tobacco",3.5,3.3
1993-Q3,manufacturing,textile and wearing apparel,3.4,3.5
1993-Q3,manufacturing,paper products and publishing,3,2.6
1993-Q3,manufacturing,petroleum and chemical products,2,1.6
1993-Q3,manufacturing,rubber and plastic products,4.4,3.8
1993-Q3,manufacturing,fabricated metal products,3.3,2.8
1993-Q3,manufacturing,machinery and equipment,2.6,2.8
1993-Q3,manufacturing,electrical products,3.3,2.6
1993-Q3,manufacturing,electronic products,2.9,2.9
1993-Q3,manufacturing,medical and precision instruments,2.2,2
1993-Q3,manufacturing,transport equipment,3.8,3.4
1993-Q3,manufacturing,other manufacturing industries,3.1,2.8
1993-Q3,construction,construction,3.7,2.4
1993-Q3,services,wholesale and retail trade,4.9,4
1993-Q3,services,hotels and restaurants,6.4,5.8
1993-Q3,services,"transport, storage and communications",2.3,1.7
1993-Q3,services,financial intermediation,2.7,1.8
1993-Q3,services,business and real estate services,4.2,3.3
1993-Q3,services,"community, social and personal services",3.2,2.5
1993-Q3,others,others,3.6,2.3
1993-Q4,manufacturing,"food, beverages and tobacco",3.1,2.4
1993-Q4,manufacturing,textile and wearing apparel,2.7,2.8
1993-Q4,manufacturing,paper products and publishing,2.1,1.6
1993-Q4,manufacturing,petroleum and chemical products,1.2,1
1993-Q4,manufacturing,rubber and plastic products,3.5,2.7
1993-Q4,manufacturing,fabricated metal products,2.2,1.8
1993-Q4,manufacturing,machinery and equipment,2.8,2.2
1993-Q4,manufacturing,electrical products,2.1,1.6
1993-Q4,manufacturing,electronic products,2.7,1.8
1993-Q4,manufacturing,medical and precision instruments,1.3,1.4
1993-Q4,manufacturing,transport equipment,2.9,2.1
1993-Q4,manufacturing,other manufacturing industries,2.7,2
1993-Q4,construction,construction,2.9,1.9
1993-Q4,services,wholesale and retail trade,5.1,3.7
1993-Q4,services,hotels and restaurants,7.3,5.4
1993-Q4,services,"transport, storage and communications",1.6,1.1
1993-Q4,services,financial intermediation,2.1,1.3
1993-Q4,services,business and real estate services,3.2,2.8
1993-Q4,services,"community, social and personal services",2.6,1.9
1993-Q4,others,others,1.9,2.2
1994-Q1,manufacturing,"food, beverages and tobacco",3.7,3.6
1994-Q1,manufacturing,textile and wearing apparel,3,3.9
1994-Q1,manufacturing,paper products and publishing,2.8,3
1994-Q1,manufacturing,petroleum and chemical products,1.9,2
1994-Q1,manufacturing,rubber and plastic products,4.4,4.6
1994-Q1,manufacturing,fabricated metal products,3,3.7
1994-Q1,manufacturing,machinery and equipment,4.2,4.1
1994-Q1,manufacturing,electrical products,4,3.6
1994-Q1,manufacturing,electronic products,4.1,4.5
1994-Q1,manufacturing,medical and precision instruments,3.7,3.2
1994-Q1,manufacturing,transport equipment,3.6,3
1994-Q1,manufacturing,other manufacturing industries,2.6,3
1994-Q1,construction,construction,2,2.1
1994-Q1,services,wholesale and retail trade,4.7,5.2
1994-Q1,services,hotels and restaurants,5.1,6.8
1994-Q1,services,"transport, storage and communications",2.1,2
1994-Q1,services,financial intermediation,3,2.3
1994-Q1,services,business and real estate services,3.8,3.7
1994-Q1,services,"community, social and personal services",3.3,3.1
1994-Q1,others,others,2,3
1994-Q2,manufacturing,"food, beverages and tobacco",3.8,3.3
1994-Q2,manufacturing,textile and wearing apparel,3.6,4.3
1994-Q2,manufacturing,paper products and publishing,3.5,3
1994-Q2,manufacturing,petroleum and chemical products,2.5,1.9
1994-Q2,manufacturing,rubber and plastic products,5.2,4.5
1994-Q2,manufacturing,fabricated metal products,3.7,3.4
1994-Q2,manufacturing,machinery and equipment,3.7,3.5
1994-Q2,manufacturing,electrical products,4,3.3
1994-Q2,manufacturing,electronic products,4.8,4.2
1994-Q2,manufacturing,medical and precision instruments,4,2.9
1994-Q2,manufacturing,transport equipment,4.1,3.4
1994-Q2,manufacturing,other manufacturing industries,2.6,2.6
1994-Q2,construction,construction,2.6,2.2
1994-Q2,services,wholesale and retail trade,5.1,4.7
1994-Q2,services,hotels and restaurants,6.4,5.6
1994-Q2,services,"transport, storage and communications",2.8,2
1994-Q2,services,financial intermediation,3.4,2.5
1994-Q2,services,business and real estate services,4.6,3.8
1994-Q2,services,"community, social and personal services",3.6,3
1994-Q2,others,others,2.7,1.8
1994-Q3,manufacturing,"food, beverages and tobacco",3.1,2.9
1994-Q3,manufacturing,textile and wearing apparel,2.7,3.3
1994-Q3,manufacturing,paper products and publishing,2.7,2.3
1994-Q3,manufacturing,petroleum and chemical products,2.5,1.6
1994-Q3,manufacturing,rubber and plastic products,4.2,3.4
1994-Q3,manufacturing,fabricated metal products,3.3,2.8
1994-Q3,manufacturing,machinery and equipment,3.4,2.8
1994-Q3,manufacturing,electrical products,2.9,2.3
1994-Q3,manufacturing,electronic products,3.8,3.4
1994-Q3,manufacturing,medical and precision instruments,2.8,2.5
1994-Q3,manufacturing,transport equipment,5.2,3.2
1994-Q3,manufacturing,other manufacturing industries,2.5,2.2
1994-Q3,construction,construction,2.9,2
1994-Q3,services,wholesale and retail trade,4.7,4.1
1994-Q3,services,hotels and restaurants,5.1,5.3
1994-Q3,services,"transport, storage and communications",2.3,1.9
1994-Q3,services,financial intermediation,2.7,2
1994-Q3,services,business and real estate services,4.4,3.5
1994-Q3,services,"community, social and personal services",3.3,2.6
1994-Q3,others,others,2.2,1.8
1994-Q4,manufacturing,"food, beverages and tobacco",3,2.1
1994-Q4,manufacturing,textile and wearing apparel,2.2,2.2
1994-Q4,manufacturing,paper products and publishing,1.8,1.4
1994-Q4,manufacturing,petroleum and chemical products,1.6,1
1994-Q4,manufacturing,rubber and plastic products,3,2.4
1994-Q4,manufacturing,fabricated metal products,2.5,1.9
1994-Q4,manufacturing,machinery and equipment,2.4,1.8
1994-Q4,manufacturing,electrical products,2.1,1.5
1994-Q4,manufacturing,electronic products,3,2.1
1994-Q4,manufacturing,medical and precision instruments,1.5,1.3
1994-Q4,manufacturing,transport equipment,2.7,2.6
1994-Q4,manufacturing,other manufacturing industries,1.7,1.8
1994-Q4,construction,construction,2.7,1.9
1994-Q4,services,wholesale and retail trade,4.8,3.5
1994-Q4,services,hotels and restaurants,6.2,4.1
1994-Q4,services,"transport, storage and communications",1.9,1.4
1994-Q4,services,financial intermediation,2.1,1.3
1994-Q4,services,business and real estate services,3.5,2.8
1994-Q4,services,"community, social and personal services",2.4,1.9
1994-Q4,others,others,1.7,1.5
1995-Q1,manufacturing,"food, beverages and tobacco",3.5,3.6
1995-Q1,manufacturing,textile and wearing apparel,2.5,4.2
1995-Q1,manufacturing,paper products and publishing,2.9,2.9
1995-Q1,manufacturing,petroleum and chemical products,2.1,2.1
1995-Q1,manufacturing,rubber and plastic products,4.9,4.5
1995-Q1,manufacturing,fabricated metal products,4.5,4.1
1995-Q1,manufacturing,machinery and equipment,4,3.6
1995-Q1,manufacturing,electrical products,3.5,3.8
1995-Q1,manufacturing,electronic products,4.6,4.3
1995-Q1,manufacturing,medical and precision instruments,3.4,3.5
1995-Q1,manufacturing,transport equipment,4.3,2.9
1995-Q1,manufacturing,other manufacturing industries,2.8,2.6
1995-Q1,construction,construction,2.8,2.6
1995-Q1,services,wholesale and retail trade,5.1,4.8
1995-Q1,services,hotels and restaurants,5.6,6.7
1995-Q1,services,"transport, storage and communications",2.5,2.2
1995-Q1,services,financial intermediation,2.5,2.2
1995-Q1,services,business and real estate services,4.1,3.9
1995-Q1,services,"community, social and personal services",3.4,3.2
1995-Q1,others,others,3.5,1.8
1995-Q2,manufacturing,"food, beverages and tobacco",3.6,3.1
1995-Q2,manufacturing,textile and wearing apparel,2.7,4.3
1995-Q2,manufacturing,paper products and publishing,2.8,2.5
1995-Q2,manufacturing,petroleum and chemical products,2.3,1.8
1995-Q2,manufacturing,rubber and plastic products,5.2,4.2
1995-Q2,manufacturing,fabricated metal products,3.8,3.2
1995-Q2,manufacturing,machinery and equipment,3.6,3.3
1995-Q2,manufacturing,electrical products,3.2,3.1
1995-Q2,manufacturing,electronic products,4.5,3.9
1995-Q2,manufacturing,medical and precision instruments,3.6,2.9
1995-Q2,manufacturing,transport equipment,4.1,2.9
1995-Q2,manufacturing,other manufacturing industries,2.8,2.8
1995-Q2,construction,construction,3.3,2.6
1995-Q2,services,wholesale and retail trade,5.2,4.8
1995-Q2,services,hotels and restaurants,6.7,6.3
1995-Q2,services,"transport, storage and communications",2.6,2.1
1995-Q2,services,financial intermediation,2.9,2.3
1995-Q2,services,business and real estate services,4.5,3.6
1995-Q2,services,"community, social and personal services",3.6,3
1995-Q2,others,others,2,1.8
1995-Q3,manufacturing,"food, beverages and tobacco",3.3,2.8
1995-Q3,manufacturing,textile and wearing apparel,2.6,4.1
1995-Q3,manufacturing,paper products and publishing,2.4,2.2
1995-Q3,manufacturing,petroleum and chemical products,1.9,1.5
1995-Q3,manufacturing,rubber and plastic products,4.3,3.6
1995-Q3,manufacturing,fabricated metal products,3,2.5
1995-Q3,manufacturing,machinery and equipment,3.3,2.5
1995-Q3,manufacturing,electrical products,1.9,2.1
1995-Q3,manufacturing,electronic products,3.3,2.9
1995-Q3,manufacturing,medical and precision instruments,4.3,1.8
1995-Q3,manufacturing,transport equipment,3.4,2.8
1995-Q3,manufacturing,other manufacturing industries,2.5,2.4
1995-Q3,construction,construction,3.7,2.1
1995-Q3,services,wholesale and retail trade,4.4,3.7
1995-Q3,services,hotels and restaurants,5.4,5.5
1995-Q3,services,"transport, storage and communications",2.4,1.8
1995-Q3,services,financial intermediation,2.6,2
1995-Q3,services,business and real estate services,4.3,3.5
1995-Q3,services,"community, social and personal services",3.1,2.4
1995-Q3,others,others,2.2,2.3
1995-Q4,manufacturing,"food, beverages and tobacco",3,2.1
1995-Q4,manufacturing,textile and wearing apparel,2,2.9
1995-Q4,manufacturing,paper products and publishing,1.6,1.7
1995-Q4,manufacturing,petroleum and chemical products,1.2,0.9
1995-Q4,manufacturing,rubber and plastic products,3.4,2.4
1995-Q4,manufacturing,fabricated metal products,2.8,2.2
1995-Q4,manufacturing,machinery and equipment,2.5,2
1995-Q4,manufacturing,electrical products,1.5,2
1995-Q4,manufacturing,electronic products,2.7,2
1995-Q4,manufacturing,medical and precision instruments,2.1,1.4
1995-Q4,manufacturing,transport equipment,2.5,2.1
1995-Q4,manufacturing,other manufacturing industries,2,1.5
1995-Q4,construction,construction,3.5,1.7
1995-Q4,services,wholesale and retail trade,4.8,3.5
1995-Q4,services,hotels and restaurants,6.3,3.9
1995-Q4,services,"transport, storage and communications",2.1,1.4
1995-Q4,services,financial intermediation,1.8,1.2
1995-Q4,services,business and real estate services,3.1,2.6
1995-Q4,services,"community, social and personal services",2.2,1.8
1995-Q4,others,others,1.9,1.4
1996-Q1,manufacturing,"food, beverages and tobacco",3.4,3.5
1996-Q1,manufacturing,textile and wearing apparel,1.8,3.4
1996-Q1,manufacturing,paper products and publishing,2.6,3.1
1996-Q1,manufacturing,petroleum and chemical products,2.2,1.8
1996-Q1,manufacturing,rubber and plastic products,3.8,4
1996-Q1,manufacturing,fabricated metal products,3.5,3.5
1996-Q1,manufacturing,machinery and equipment,4,3.5
1996-Q1,manufacturing,electrical products,3.5,3.4
1996-Q1,manufacturing,electronic products,3.4,4.2
1996-Q1,manufacturing,medical and precision instruments,2.7,3.3
1996-Q1,manufacturing,transport equipment,2.6,2.7
1996-Q1,manufacturing,other manufacturing industries,2.6,2.4
1996-Q1,construction,construction,2.9,2.1
1996-Q1,services,wholesale and retail trade,4.1,4.1
1996-Q1,services,hotels and restaurants,4.4,5.3
1996-Q1,services,"transport, storage and communications",2.3,2
1996-Q1,services,financial intermediation,2.3,2.2
1996-Q1,services,business and real estate services,3.7,3.3
1996-Q1,services,"community, social and personal services",3.3,3
1996-Q1,others,others,1.9,2.1
1996-Q2,manufacturing,"food, beverages and tobacco",3.6,3.3
1996-Q2,manufacturing,textile and wearing apparel,3.4,4.6
1996-Q2,manufacturing,paper products and publishing,3.5,3.2
1996-Q2,manufacturing,petroleum and chemical products,1.9,1.7
1996-Q2,manufacturing,rubber and plastic products,4.7,4.3
1996-Q2,manufacturing,fabricated metal products,3.3,3
1996-Q2,manufacturing,machinery and equipment,4.2,3.4
1996-Q2,manufacturing,electrical products,3,3.8
1996-Q2,manufacturing,electronic products,4.2,3.5
1996-Q2,manufacturing,medical and precision instruments,4,2.9
1996-Q2,manufacturing,transport equipment,3.7,2.7
1996-Q2,manufacturing,other manufacturing industries,2.5,2.8
1996-Q2,construction,construction,3.2,2.4
1996-Q2,services,wholesale and retail trade,4.8,4.5
1996-Q2,services,hotels and restaurants,4.9,4.5
1996-Q2,services,"transport, storage and communications",3,2
1996-Q2,services,financial intermediation,2.9,2.4
1996-Q2,services,business and real estate services,4.6,3.6
